question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error
12,transaction_enose,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',SELECT * FROM transaction_enose WHERE date_time BETWEEN '10:00' AND '12:00',False,False,True,True,False,True,True,mismatch,1.278,2.209,,,
13,transaction_enose,"SELECT MIN(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS min_score FROM transaction_enose",SELECT MIN(value) AS lowest_score FROM transaction_enose,False,False,True,True,False,True,True,mismatch,1.308,1.27,,,
14,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC",SELECT COUNT(*) AS total_transactions FROM transaction_enose GROUP BY device_id,False,False,True,True,False,True,True,mismatch,1.1,1.103,,,
15,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Class:Baik%' THEN 1 ELSE 0 END) AS total_baik, SUM(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 ELSE 0 END) AS total_cacat_mutu FROM transaction_enose","SELECT COUNT(*) AS total FROM transaction_enose WHERE type IN ('Baik', 'Cacat Mutu')",False,False,True,True,False,True,True,mismatch,1.199,1.557,,,
16,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Multiclass:A%' THEN 1 ELSE 0 END) AS A, SUM(CASE WHEN value LIKE '%Multiclass:B%' THEN 1 ELSE 0 END) AS B, SUM(CASE WHEN value LIKE '%Multiclass:C%' THEN 1 ELSE 0 END) AS C, SUM(CASE WHEN value LIKE '%Multiclass:D%' THEN 1 ELSE 0 END) AS D, SUM(CASE WHEN value LIKE '%Multiclass:E%' THEN 1 ELSE 0 END) AS E FROM transaction_enose","SELECT type AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY type",False,False,True,True,False,True,True,mismatch,1.293,1.361,,,
17,transaction_enose,"SELECT type, AVG(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS avg_score FROM transaction_enose GROUP BY type ORDER BY avg_score DESC","SELECT AVG(value) AS average_score, type FROM transaction_enose WHERE date_time >= '2023-01-01' AND date_time <= '2023-12-31' GROUP BY type",False,False,True,True,False,True,True,mismatch,1.601,2.154,,,
18,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1","SELECT device_id, COUNT(*) AS frequency FROM transaction_enose GROUP BY device_id ORDER BY frequency DESC LIMIT 1",False,True,True,True,False,True,True,match,1.158,1.044,,,
19,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal",SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025,False,False,True,True,False,True,True,mismatch,1.06,1.358,,,
20,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY tanggal ORDER BY total DESC LIMIT 1","SELECT date_time, COUNT(*) AS total FROM transaction_enose GROUP BY date_time ORDER BY total DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,1.332,1.179,,,
21,transaction_enose,"SELECT ROUND(COUNT(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 END) * 100.0 / COUNT(*), 2) AS persen_cacat_mutu FROM transaction_enose","SELECT COUNT(*) AS total_transactions, ROUND(100 * COUNT(*) FILTER (WHERE type = 'Cacat Mutu') / COUNT(*), 2) AS percentage_quality_detected FROM transaction_enose",False,False,False,True,False,False,True,pred_error,0.832,1.831,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(WHERE type = 'Cacat Mutu') / COUNT(*), 2) AS percentage_quality_detected FRO...' at line 1"")
[SQL: SELECT COUNT(*) AS total_transactions, ROUND(100 * COUNT(*) FILTER (WHERE type = 'Cacat Mutu') / COUNT(*), 2) AS percentage_quality_detected FROM transaction_enose]
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(WHERE type = 'Cacat Mutu') / COUNT(*), 2) AS percentage_quality_detected FRO...' at line 1"")
[SQL: SELECT * FROM (SELECT COUNT(*) AS total_transactions, ROUND(100 * COUNT(*) FILTER (WHERE type = 'Cacat Mutu') / COUNT(*), 2) AS percentage_quality_detected FROM transaction_enose) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
22,transaction_enose,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS bulan, COUNT(*) AS total FROM transaction_enose GROUP BY bulan HAVING total > 20 ORDER BY bulan","SELECT MONTHNAME(date_time) AS month, COUNT(*) AS transaction_count FROM transaction_enose WHERE type = 'e-nose' AND value > 20 GROUP BY MONTH(date_time) ORDER BY transaction_count DESC",False,False,True,True,False,True,True,mismatch,1.264,1.665,,,
23,transaction_enose,SELECT * FROM transaction_enose WHERE DATE(date_time) = (SELECT DATE(date_time) FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1),"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,0.823,2.651,,,
24,transaction_object_detection,SELECT * FROM transaction_object_detection,SELECT * FROM transaction_object_detection,True,True,True,True,False,True,True,match,75.112,76.014,,,
25,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) LIMIT 10,False,False,True,True,False,True,True,mismatch,18.003,6.046,,,
26,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection),False,False,True,True,False,True,True,mismatch,13.039,5.677,,,
27,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MIN(detection_time) FROM transaction_object_detection),False,False,True,True,False,True,True,mismatch,11.903,4.704,,,
28,transaction_object_detection,SELECT DISTINCT type FROM transaction_object_detection,SELECT DISTINCT type FROM transaction_object_detection,True,True,True,True,False,True,True,match,6.134,5.991,,,
29,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE type = 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',True,True,True,True,False,True,True,match,9.786,12.742,,,
30,transaction_object_detection,SELECT COUNT(*) AS total_record FROM transaction_object_detection WHERE type = 'bus',SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',True,True,True,True,False,True,True,match,10.638,15.095,,,
31,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE value < 5,SELECT * FROM transaction_object_detection WHERE value < 5,True,True,True,True,False,True,True,match,81.949,69.265,,,
32,transaction_object_detection,SELECT MAX(detection_time) AS deteksi_terakhir FROM transaction_object_detection,SELECT detection_time AS last_detection_time FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,False,True,True,True,False,True,True,match,5.35,4.571,,,
33,transaction_object_detection,SELECT MIN(value) AS min_objek FROM transaction_object_detection,SELECT MIN(value) AS min_object_value FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection),False,True,True,True,False,True,True,match,10.182,4.172,,,
34,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC","SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type",False,False,True,True,False,True,True,mismatch,8.506,8.207,,,
35,transaction_object_detection,"SELECT type, COUNT(*) AS jumlah_record FROM transaction_object_detection GROUP BY type ORDER BY jumlah_record DESC","SELECT type, COUNT(*) AS count FROM transaction_object_detection GROUP BY type",False,True,True,True,False,True,True,match,7.257,8.039,,,
36,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal ORDER BY tanggal","SELECT COUNT(*) AS total_objects_per_day, DATE(detection_time) AS detection_date FROM transaction_object_detection GROUP BY detection_date",False,False,True,True,False,True,True,mismatch,9.606,14.314,,,
37,transaction_object_detection,"SELECT HOUR(detection_time) AS jam, SUM(value) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' GROUP BY jam ORDER BY jam",SELECT COUNT(*) AS total_objects FROM transaction_object_detection WHERE detection_time >= '2025-02-19 00:00:00' AND detection_time < '2025-02-19 01:00:00',False,False,True,True,False,True,True,mismatch,4.973,6.513,,,
38,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, type, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal, type ORDER BY tanggal, type","SELECT type, COUNT(*) AS count FROM transaction_object_detection WHERE DATE(detection_time) = CURDATE() GROUP BY type",False,False,True,True,False,True,True,mismatch,5.141,21.93,,,
39,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC LIMIT 1","SELECT type, SUM(value) AS total FROM transaction_object_detection WHERE detection_time >= DATE_SUB(NOW(), INTERVAL 1 DAY) GROUP BY type ORDER BY total DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,5.371,12.508,,,
40,transaction_object_detection,"SELECT type, COUNT(*) AS jumlah_record FROM transaction_object_detection GROUP BY type ORDER BY jumlah_record DESC LIMIT 1","SELECT type, COUNT(*) AS count FROM transaction_object_detection GROUP BY type ORDER BY count DESC LIMIT 1",False,True,True,True,False,True,True,match,8.692,6.939,,,
41,transaction_object_detection,"SELECT HOUR(detection_time) AS jam, SUM(value) AS total FROM transaction_object_detection WHERE type = 'people' GROUP BY jam ORDER BY total DESC LIMIT 1","SELECT detection_time, COUNT(*) AS total FROM transaction_object_detection WHERE type = 'people' GROUP BY detection_time ORDER BY total DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,6.231,5.335,,,
42,transaction_object_detection,"SELECT type, SUM(value) AS total, ROUND(SUM(value) * 100.0 / (SELECT SUM(value) FROM transaction_object_detection), 2) AS persentase FROM transaction_object_detection GROUP BY type ORDER BY total DESC","SELECT type, ROUND(100 * COUNT(*) / (SELECT COUNT(*) FROM transaction_object_detection), 2) AS percentage FROM transaction_object_detection GROUP BY type ORDER BY percentage DESC",False,False,True,True,False,True,True,mismatch,12.555,25.337,,,
43,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection WHERE device_id = 'edge_1' GROUP BY type ORDER BY total DESC","SELECT type, COUNT(*) AS total FROM transaction_object_detection WHERE device_id = 'edge_1' GROUP BY type",False,False,True,True,False,True,True,mismatch,13.698,19.607,,,
44,transaction_enose + transaction_object_detection,SELECT DISTINCT device_id FROM transaction_enose WHERE device_id NOT IN (SELECT DISTINCT device_id FROM transaction_object_detection),SELECT DISTINCT transaction_enose.device_id AS device_id FROM transaction_enose LEFT JOIN transaction_object_detection ON transaction_enose.device_id = transaction_object_detection.device_id WHERE transaction_object_detection.device_id IS NULL,False,True,True,True,False,True,True,match,2.721,6.533,,,
45,transaction_enose + transaction_object_detection,"SELECT tanggal, SUM(total) AS total_gabungan FROM (SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY DATE(date_time) UNION ALL SELECT DATE(detection_time) AS tanggal, COUNT(*) AS total FROM transaction_object_detection GROUP BY DATE(detection_time)) AS gabungan GROUP BY tanggal ORDER BY tanggal",SELECT COUNT(*) AS total FROM transaction_enose enose JOIN transaction_object_detection detection ON enose.device_id = detection.device_id AND enose.user_key = detection.user_key WHERE DATE(enose.date_time) = DATE(detection.detection_time) GROUP BY DATE(enose.date_time),False,False,True,True,False,True,True,mismatch,29.986,11.816,,,
