question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error
16,transaction_enose,"SELECT SUM(CASE WHEN value LIKE '%Multiclass:A%' THEN 1 ELSE 0 END) AS A, SUM(CASE WHEN value LIKE '%Multiclass:B%' THEN 1 ELSE 0 END) AS B, SUM(CASE WHEN value LIKE '%Multiclass:C%' THEN 1 ELSE 0 END) AS C, SUM(CASE WHEN value LIKE '%Multiclass:D%' THEN 1 ELSE 0 END) AS D, SUM(CASE WHEN value LIKE '%Multiclass:E%' THEN 1 ELSE 0 END) AS E FROM transaction_enose","SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose.data_send, '$.""multiclass"")') AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multicclass ORDER BY multiclass",False,False,False,True,False,False,True,pred_error,1.363,2.206,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM transaction_enose GROUP BY multicclass ORDER BY multiclass' at line 1"")
[SQL: SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose.data_send, '$.""multiclass"")') AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multicclass ORDER BY multiclass]
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM transaction_enose GROUP BY multicclass ORDER BY multiclass) AS __syntax_...' at line 1"")
[SQL: SELECT * FROM (SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose.data_send, '$.""multiclass"")') AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multicclass ORDER BY multiclass) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
17,transaction_enose,"SELECT type, AVG(CAST(SUBSTRING_INDEX(SUBSTRING_INDEX(value, 'Score:', -1), ',', 1) AS DECIMAL(5,2))) AS avg_score FROM transaction_enose GROUP BY type ORDER BY avg_score DESC","SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) AS category, AVG(JSON_UNQUOTE(JSON_EXTRACT(value, '$.score'))) AS average_score FROM transaction_enose GROUP BY category",False,False,True,True,False,True,True,mismatch,26.37,2.635,,,
18,transaction_enose,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1","SELECT device_id, COUNT(*) AS total_send FROM transaction_enose WHERE type = 'data' GROUP BY device_id ORDER BY total_send DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,1.621,1.151,,,
19,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal","SELECT DATE(date_time) AS transaction_day, COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025 GROUP BY transaction_day",False,True,True,True,False,True,True,match,1.338,1.523,,,
20,transaction_enose,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY tanggal ORDER BY total DESC LIMIT 1","SELECT DATE(date_time) AS transaction_date, COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'e-nose' GROUP BY transaction_date ORDER BY total_transactions DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,1.234,1.416,,,
21,transaction_enose,"SELECT ROUND(COUNT(CASE WHEN value LIKE '%Cacat Mutu%' THEN 1 END) * 100.0 / COUNT(*), 2) AS persen_cacat_mutu FROM transaction_enose",SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM transaction_enose WHERE type = 'Cacat Mutu') AS persentase FROM transaction_enose WHERE type = 'Cacat Mutu',False,False,True,True,False,True,True,mismatch,2.111,1.713,,,
22,transaction_enose,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS bulan, COUNT(*) AS total FROM transaction_enose GROUP BY bulan HAVING total > 20 ORDER BY bulan","SELECT DATE_FORMAT(date_time, '%Y-%m') AS month, COUNT(*) AS total_transactions FROM transaction_enose WHERE value > 'JSON_UNQUOTE((SELECT data_send FROM JSON_TABLE(transaction_enose.data_send) WHERE ROW_NUMBER() OVER (ORDER BY JSON_VALUE(data_send, '$')) = 1))' AND value > '5000000000' GROUP BY month HAVING total_transactions > 20",False,False,False,True,False,False,True,pred_error,1.445,2.054,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '$')) = 1))' AND value > '5000000000' GROUP BY month HAVING total_transactions...' at line 1"")
[SQL: SELECT DATE_FORMAT(date_time, '%%Y-%%m') AS month, COUNT(*) AS total_transactions FROM transaction_enose WHERE value > 'JSON_UNQUOTE((SELECT data_send FROM JSON_TABLE(transaction_enose.data_send) WHERE ROW_NUMBER() OVER (ORDER BY JSON_VALUE(data_send, '$')) = 1))' AND value > '5000000000' GROUP BY month HAVING total_transactions > 20]
(Background on this error at: https://sqlalche.me/e/20/f405)",,"(pymysql.err.ProgrammingError) (1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '$')) = 1))' AND value > '5000000000' GROUP BY month HAVING total_transactions...' at line 1"")
[SQL: SELECT * FROM (SELECT DATE_FORMAT(date_time, '%%Y-%%m') AS month, COUNT(*) AS total_transactions FROM transaction_enose WHERE value > 'JSON_UNQUOTE((SELECT data_send FROM JSON_TABLE(transaction_enose.data_send) WHERE ROW_NUMBER() OVER (ORDER BY JSON_VALUE(data_send, '$')) = 1))' AND value > '5000000000' GROUP BY month HAVING total_transactions > 20) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/f405)"
23,transaction_enose,SELECT * FROM transaction_enose WHERE DATE(date_time) = (SELECT DATE(date_time) FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1),"SELECT user_key, SUM(value) AS total FROM transaction_enose WHERE date_time = DATE(date_time) GROUP BY user_key ORDER BY total DESC LIMIT 50",False,False,True,True,False,True,True,mismatch,22.56,3.152,,,
24,transaction_object_detection,SELECT * FROM transaction_object_detection,SELECT * FROM transaction_object_detection WHERE type = 'deteksi_objek',False,False,True,True,False,True,True,mismatch,10.217,101.252,,,
25,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,"SELECT * FROM transaction_object_detection WHERE detection_time >= DATE_SUB(CURDATE(), INTERVAL 1 DAY) ORDER BY detection_time DESC LIMIT 10",False,False,True,True,False,True,True,mismatch,5.569,5.776,,,
26,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) ORDER BY value DESC LIMIT 50,False,False,True,True,False,True,True,mismatch,11.125,4.761,,,
27,transaction_object_detection,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,SELECT * FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) ORDER BY detection_time DESC,False,False,True,True,False,True,True,mismatch,12.376,4.774,,,
28,transaction_object_detection,SELECT DISTINCT type FROM transaction_object_detection,"SELECT type, value FROM transaction_object_detection WHERE detection_time IS NOT NULL GROUP BY type, value",False,False,True,True,False,True,True,mismatch,9.733,7.227,,,
29,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE type = 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',True,True,True,True,False,True,True,match,7.522,11.535,,,
30,transaction_object_detection,SELECT COUNT(*) AS total_record FROM transaction_object_detection WHERE type = 'bus',SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus' AND detection_time >= '2000-01-01' AND detection_time < '9999-12-31',False,True,True,True,False,True,True,match,7.035,4.108,,,
31,transaction_object_detection,SELECT * FROM transaction_object_detection WHERE value < 5,SELECT * FROM transaction_object_detection WHERE value < 5,True,True,True,True,False,True,True,match,89.515,97.538,,,
32,transaction_object_detection,SELECT MAX(detection_time) AS deteksi_terakhir FROM transaction_object_detection,SELECT MAX(detection_time) FROM transaction_object_detection,True,True,True,True,False,True,True,match,5.415,6.472,,,
33,transaction_object_detection,SELECT MIN(value) AS min_objek FROM transaction_object_detection,SELECT MIN(value) AS min_value FROM transaction_object_detection WHERE type = 'snapshot',False,False,True,True,False,True,True,mismatch,5.356,5.605,,,
34,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC","SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type",False,True,True,True,False,True,True,match,14.853,14.014,,,
35,transaction_object_detection,"SELECT type, COUNT(*) AS jumlah_record FROM transaction_object_detection GROUP BY type ORDER BY jumlah_record DESC","SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type",False,True,True,True,False,True,True,match,8.297,7.64,,,
36,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal ORDER BY tanggal","SELECT DATE(detection_time) AS day, COUNT(*) AS total_detection FROM transaction_object_detection GROUP BY day",False,False,True,True,False,True,True,mismatch,9.543,15.186,,,
37,transaction_object_detection,"SELECT HOUR(detection_time) AS jam, SUM(value) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' GROUP BY jam ORDER BY jam",SELECT COUNT(*) AS total FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19',False,False,True,True,False,True,True,mismatch,5.406,6.382,,,
38,transaction_object_detection,"SELECT DATE(detection_time) AS tanggal, type, SUM(value) AS total FROM transaction_object_detection GROUP BY tanggal, type ORDER BY tanggal, type","SELECT detection_time, type, SUM(value) AS total_detections FROM transaction_object_detection GROUP BY detection_time, type ORDER BY detection_time",False,False,True,True,False,True,True,mismatch,113.831,21.172,,,
39,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC LIMIT 1","SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC LIMIT 1",True,True,True,True,False,True,True,match,9.206,7.725,,,
40,transaction_object_detection,"SELECT type, COUNT(*) AS jumlah_record FROM transaction_object_detection GROUP BY type ORDER BY jumlah_record DESC LIMIT 1","SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type ORDER BY total DESC LIMIT 1",False,True,True,True,False,True,True,match,6.579,7.213,,,
41,transaction_object_detection,"SELECT HOUR(detection_time) AS jam, SUM(value) AS total FROM transaction_object_detection WHERE type = 'people' GROUP BY jam ORDER BY total DESC LIMIT 1","SELECT detection_time, COUNT(*) AS total FROM transaction_object_detection GROUP BY detection_time ORDER BY total DESC LIMIT 1",False,False,True,True,False,True,True,mismatch,8.482,5.68,,,
42,transaction_object_detection,"SELECT type, SUM(value) AS total, ROUND(SUM(value) * 100.0 / (SELECT SUM(value) FROM transaction_object_detection), 2) AS persentase FROM transaction_object_detection GROUP BY type ORDER BY total DESC","SELECT t.type, COUNT(t.value) AS total_values, SUM(1) AS total_transactions, ROUND(COUNT(t.value)/SUM(1)) * 100 AS persentase FROM transaction_object_detection t GROUP BY t.type",False,False,True,True,False,True,True,mismatch,17.313,20.315,,,
43,transaction_object_detection,"SELECT type, SUM(value) AS total FROM transaction_object_detection WHERE device_id = 'edge_1' GROUP BY type ORDER BY total DESC","SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_object_detection.value, '$ .type')), SUM(transaction_object_detection.value) AS total FROM transaction_object_detection WHERE transaction_object_detection.device_id = 'edge_1' GROUP BY JSON_UNQUOTE(JSON_EXTRACT(transaction_object_detection.value, '$ .type'))",False,False,True,True,False,True,True,mismatch,19.707,15.877,,,
44,transaction_enose + transaction_object_detection,SELECT DISTINCT device_id FROM transaction_enose WHERE device_id NOT IN (SELECT DISTINCT device_id FROM transaction_object_detection),SELECT d.device_id FROM device AS d LEFT JOIN transaction_enose AS te ON d.device_id = te.device_id WHERE te.device_id IS NULL AND EXISTS (SELECT 1 FROM transaction_object_detection WHERE device.device_id = transaction_object_detection.device_id),False,False,False,True,False,False,True,pred_error,1.963,6.966,"(pymysql.err.OperationalError) (1054, ""Unknown column 'device.device_id' in 'where clause'"")
[SQL: SELECT d.device_id FROM device AS d LEFT JOIN transaction_enose AS te ON d.device_id = te.device_id WHERE te.device_id IS NULL AND EXISTS (SELECT 1 FROM transaction_object_detection WHERE device.device_id = transaction_object_detection.device_id)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,"(pymysql.err.OperationalError) (1054, ""Unknown column 'device.device_id' in 'where clause'"")
[SQL: SELECT * FROM (SELECT d.device_id FROM device AS d LEFT JOIN transaction_enose AS te ON d.device_id = te.device_id WHERE te.device_id IS NULL AND EXISTS (SELECT 1 FROM transaction_object_detection WHERE device.device_id = transaction_object_detection.device_id)) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
45,transaction_enose + transaction_object_detection,"SELECT tanggal, SUM(total) AS total_gabungan FROM (SELECT DATE(date_time) AS tanggal, COUNT(*) AS total FROM transaction_enose GROUP BY DATE(date_time) UNION ALL SELECT DATE(detection_time) AS tanggal, COUNT(*) AS total FROM transaction_object_detection GROUP BY DATE(detection_time)) AS gabungan GROUP BY tanggal ORDER BY tanggal","SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_enose WHERE date_time >= DATE_FORMAT(NOW(), '%Y-01-01') AND date_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%Y-01-01')) AS t1 UNION ALL SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_object_detection WHERE detection_time >= DATE_FORMAT(NOW(), '%Y-01-01') AND detection_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%Y-01-01')) AS t2 GROUP BY table_name",False,False,False,True,False,False,True,pred_error,1.716,11.583,"(pymysql.err.OperationalError) (1054, ""Unknown column 't1.type' in 'field list'"")
[SQL: SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_enose WHERE date_time >= DATE_FORMAT(NOW(), '%%Y-01-01') AND date_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%%Y-01-01')) AS t1 UNION ALL SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_object_detection WHERE detection_time >= DATE_FORMAT(NOW(), '%%Y-01-01') AND detection_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%%Y-01-01')) AS t2 GROUP BY table_name]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,"(pymysql.err.OperationalError) (1054, ""Unknown column 't1.type' in 'field list'"")
[SQL: SELECT * FROM (SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_enose WHERE date_time >= DATE_FORMAT(NOW(), '%%Y-01-01') AND date_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%%Y-01-01')) AS t1 UNION ALL SELECT CASE WHEN t1.type = 'transaction_enose' THEN 'transaction_enose' ELSE 'transaction_object_detection' END AS table_name, COUNT(*) AS total_transactions FROM (SELECT * FROM transaction_object_detection WHERE detection_time >= DATE_FORMAT(NOW(), '%%Y-01-01') AND detection_time < DATE_FORMAT(NOW() + INTERVAL 1 DAY, '%%Y-01-01')) AS t2 GROUP BY table_name) AS __syntax_check LIMIT 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
